n				alpha	NOD_obj
G_200_0.1_1		40		60.47
G_200_0.1_2		41		61.34
G_200_0.1_3		42		60.08
G_200_0.1_4		41		61.09
G_200_0.1_5		43		61.04
G_200_0.2_1		25		51.35
G_200_0.2_2		25		51.72
G_200_0.2_3		26		51.14
G_200_0.2_4		25		51.21
G_200_0.2_5		26		51.71
G_200_0.3_1		19		35.33
G_200_0.3_2		18		35.04
G_200_0.3_3		18		34.84
G_200_0.3_4		18		34.90
G_200_0.3_5		18		35.75
G_200_0.4_1		14		24.44
G_200_0.4_2		14		24.57
G_200_0.4_3		14		24.35
G_200_0.4_4		14		23.74
G_200_0.4_5		14		24.38
G_200_0.5_1		11		17.48
G_200_0.5_2		11		17.08
G_200_0.5_3		11		17.26
G_200_0.5_4		11		16.97
G_200_0.5_5		11		17.30
G_200_0.6_1		9		12.44
G_200_0.6_2		9		12.59
G_200_0.6_3		9		12.65
G_200_0.6_4		9		12.43
G_200_0.6_5		9		12.84
G_200_0.7_1		7		9.34
G_200_0.7_2		7		8.95
G_200_0.7_3		7		9.17
G_200_0.7_4		7		8.95
G_200_0.7_5		7		9.28
G_200_0.8_1		5		6.13
G_200_0.8_2		6		6.29
G_200_0.8_3		6		6.40
G_200_0.8_4		6		6.48
G_200_0.8_5		6		6.39
G_200_0.9_1		4		4.38
G_200_0.9_2		4		4.39
G_200_0.9_3		4		4.38
G_200_0.9_4		4		4.38
G_200_0.9_5		4		4.39
